,SOURCE_KEY,DAY,DC_efficiency_unnorm,DC_efficiency,AC_efficiency_unnorm,AC_efficiency,alarm_negative_trend,alarm_negative_trend_temp,alarm_AC_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_AC_conversion_fall,alarm_AC_conversion_jump,alarm_inefficient_inverter_day,alarm_AC_inefficient_inverter_day,alarm_inefficient_inverter_window,alarm_AC_inefficient_inverter_window
256,vOuJvMaM2sgwLmb,148,1295.8847955610295,0.8169872701836018,0.9792308687051284,0.9983239318346145,0,0,0,0,0,0,0,0,0,0.0,0.0
257,xoJJ8DcxJEcupym,148,1292.8363548261318,0.815065388483275,0.9792370283497581,0.9983302115801188,0,0,0,0,0,0,0,0,0,0.0,0.0
258,4UPUqMRk7TRMgml,149,1397.7411849482373,0.8812023715577841,0.9786816140144805,0.9977639677649858,0,0,0,0,0,0,1,0,0,0.0,0.0
259,81aHJ1q11NBPMrL,149,1341.3106427984849,0.8456258799253258,0.9765467153255709,0.995587442778596,0,0,0,0,0,0,0,0,0,0.0,0.0
260,9kRcWv60rDACzjR,149,1342.5095260431558,0.8463817128147058,0.9765811559259374,0.9956225549024796,0,0,0,0,0,0,0,0,0,0.0,0.0
261,Et9kgGMDl729KT4,149,1270.201785843801,0.8007954820934473,0.9768847227626665,0.9959320406914833,0,0,1,0,0,0,0,0,0,0.0,0.0
262,LYwnQax7tkwH5Cb,149,1308.2256600430887,0.8247675367778544,0.9790143235704784,0.9981031644985834,0,0,0,0,0,0,0,0,0,0.0,0.0
263,LlT2YUhhzqhg5Sw,149,1332.9825001579245,0.8403754236001048,0.976609487524271,0.9956514389108861,0,0,0,0,0,0,0,0,0,0.0,0.0
264,Mx2yZCDsyf6DPfv,149,1388.4907877917572,0.8753704822209584,0.9786953754357457,0.9977779975067189,0,0,0,0,0,0,1,0,0,0.0,0.0
265,PeE6FRyGXUgsRhN,149,1254.5436621084607,0.790923857848335,0.9765561306100659,0.9955970416424971,0,0,0,1,0,0,0,0,0,0.0,0.0
266,Qf4GUc1pJu5T6c6,149,1375.2334409926227,0.8670124216831673,0.9784986996392323,0.9975774869215782,0,0,0,0,0,0,0,0,0,0.0,0.0
267,Quc1TzYxW2pYoWX,149,1118.831264148803,0.7053643220632655,0.9788906811400455,0.9979771112855607,0,0,1,0,0,0,0,1,0,1.0,0.0
268,V94E5Ben1TlhnDV,149,1370.0836562832753,0.8637657530239355,0.9764712925994634,0.9955105494586614,0,0,0,0,0,0,0,0,0,0.0,0.0
269,WcxssY2VbP4hApt,149,1133.2459891683845,0.7144520487535819,0.9760893959506793,0.9951212065813553,0,0,0,0,0,0,0,1,0,0.0,0.0
270,oZ35aAeoifZaQzV,149,1394.0219776634895,0.8788576067938009,0.9786794210191475,0.9977617320105857,0,0,0,0,0,0,1,0,0,0.0,0.0
271,oZZkBaNadn6DNKz,149,1312.7818951851013,0.8276400036234709,0.9763931342758216,0.9954308672024567,0,0,1,1,0,0,0,0,0,0.0,0.0
272,q49J1IKaHRwDQnt,149,1329.382077853872,0.8381055465247876,0.9765536786698396,0.995594541894291,0,0,0,0,0,0,0,0,0,0.0,0.0
273,rrq4fwE8jgrTyWY,149,1287.776445076233,0.811875381263416,0.9790220717276988,0.9981110637295288,0,0,0,0,0,0,0,0,0,0.0,0.0
274,vOuJvMaM2sgwLmb,149,1371.1422320905876,0.8644331294466399,0.9760509060657333,0.9950819662198601,0,0,0,0,0,0,0,0,0,0.0,0.0
