,SOURCE_KEY,DAY,DC_efficiency_unnorm,DC_efficiency,AC_efficiency_unnorm,AC_efficiency,alarm_negative_trend,alarm_negative_trend_temp,alarm_AC_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_AC_conversion_fall,alarm_AC_conversion_jump,alarm_inefficient_inverter_day,alarm_AC_inefficient_inverter_day,alarm_inefficient_inverter_window,alarm_AC_inefficient_inverter_window
183,ZnxXDlPa8U1GXgE,144,13544.752682785711,0.8269823751579467,0.09769964088251472,0.9973834338615732,0,0,0,0,0,0,0,0,0,0.0,0.0
184,ZoEaEvLYb1n2sOq,144,13379.738789997384,0.8169073605609224,0.09769981686472161,0.9973852304059231,0,0,0,0,0,0,0,0,0,0.0,0.0
185,adLQvlD726eNBSB,144,14026.43910842802,0.8563920065988576,0.0976864080617223,0.9972483443553847,0,0,0,0,0,0,0,0,0,0.0,0.0
186,bvBOhCH3iADSZry,144,12434.639169252547,0.7592037798881084,0.09774756119518908,0.9978726365400596,0,0,0,0,0,0,0,1,0,0.0,0.0
187,iCRJl6heRkivqQ3,144,13867.280659415763,0.8466744993639053,0.09769096255203809,0.9972948396459469,0,0,0,0,0,0,0,0,0,0.0,0.0
188,ih0vzX44oOqAx2f,144,13244.065943496396,0.8086237797919341,0.09771008361008403,0.9974900402256077,0,0,0,0,0,0,0,0,0,0.0,0.0
189,pkci93gMrogZuBj,144,13730.997141618658,0.8383536337207866,0.09770159508815747,0.9974033837029118,0,0,0,0,0,0,0,0,0,0.0,0.0
190,rGa61gmuvPhdLxV,144,12836.738560960934,0.783754180902605,0.09768544664651027,0.997238529584349,0,0,0,0,0,0,0,0,0,0.0,0.0
191,sjndEbLyjtCKgGv,144,13613.38648405923,0.8311728498991673,0.09769870692644098,0.9973738994118303,0,0,0,0,0,0,0,0,0,0.0,0.0
192,uHbuxQJl8lW7ozc,144,13794.172795581226,0.8422108582556075,0.09770352600791679,0.997423095826341,0,0,0,0,0,0,0,0,0,0.0,0.0
193,wCURE6d3bPkepu2,144,13515.63124474434,0.8252043496329715,0.09769884533667861,0.9973753123963289,0,0,0,0,0,0,0,0,0,0.0,0.0
